id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6961123,Rejuvenate in the Hot Tub and Pool at Ta Rozamari in Zejtun,36492830,Mary Rose Zammit,,Zejtun,35.85293,14.53177,Entire home/apt,228,3,29,2021-11-26,0.39,5,358,3,
37358952,South Olives,280967340,Emanuel,,Zejtun,35.85656,14.54694,Entire home/apt,165,3,2,2021-08-22,0.12,1,335,1,
18744454,The Chateau-Stunning huge villa with private pool,26094712,Chris,,Zejtun,35.85467,14.54893,Entire home/apt,488,2,17,2021-10-23,0.36,9,230,5,
5623632,Villa Sky-Charming spacious villa with privatepool,26094712,Chris,,Zejtun,35.85469,14.54895,Entire home/apt,395,2,36,2021-12-05,0.47,9,284,3,
19455361,Students Room Let,70380577,Melissa,,Zejtun,35.85634,14.53589,Private room,60,3,0,,,1,0,0,
44137041,Il-Qastna Holiday Accommodation,354859475,Joseph,,Zejtun,35.85668,14.54609,Entire home/apt,94,3,1,2020-08-20,0.06,1,353,0,
47329384,Zejtun | 2 Bedroom Apartment Facing Country Views,302114378,Ismael,,Zejtun,35.86079,14.53274,Entire home/apt,73,5,7,2021-09-11,0.64,1,33,7,
39798137,Charming penthouse with sea and Mdina view,305729530,Nad,,Zebbug (Malta),35.87727,14.43926,Private room,20,2,7,2020-03-14,0.28,2,0,0,
40628111,Luxury house in authentic maltese neighbourhood,237251471,Maciej,,Zejtun,35.85388,14.53202,Entire home/apt,97,2,8,2020-12-25,0.33,1,0,0,
46498657,Lulu Boutique Hotel - Penthouse with private pool,375134145,Liudmila,,Zebbug (Malta),35.86834,14.44211,Private room,300,1,0,,,9,278,0,
12780013,Penthouse with views of Mdina,69540389,Joseph,,Zebbug (Malta),35.8742,14.43636,Entire home/apt,45,2,139,2021-12-04,2.03,1,331,18,
14736517,Martha ensuite bedroom,91790736,Yves,,Zejtun,35.85391,14.53154,Private room,80,2,0,,,1,0,0,
46490576,Lulu Boutique Hotel - Suite 3 with private cellar,375134145,Liudmila,,Zebbug (Malta),35.86821,14.44214,Private room,312,1,1,2021-01-02,0.08,9,310,1,
26524217,19 Tal-Kontessa,199490237,Claudio,,Zebbug (Malta),35.87014,14.44165,Entire home/apt,321,3,14,2021-11-18,0.34,1,320,3,
46498560,Lulu Boutique Hotel - Suite 7 with private jacuzzi,375134145,Liudmila,,Zebbug (Malta),35.86898,14.44159,Private room,305,1,0,,,9,317,0,
33903128,Village Knights B&B - Valletta Room,239349288,Simon,,Zebbug (Malta),35.86772,14.44564,Private room,89,2,0,,,3,282,0,
46490706,Lulu Boutique Hotel - Suite 4,375134145,Liudmila,,Zebbug (Malta),35.86738,14.44258,Private room,192,1,0,,,9,292,0,
32003251,Village Knights B&B - Marsaxlokk Room,239349288,Simon,,Zebbug (Malta),35.86922,14.44569,Hotel room,57,2,8,2019-09-13,0.24,3,290,0,
31924924,Village Knights B&B - Mdina Room,239349288,Simon,,Zebbug (Malta),35.86981,14.44566,Hotel room,50,2,16,2019-09-16,0.46,3,278,0,
41845395,Townhouse Twenty,1730826,Rita,,Zebbug (Malta),35.87084,14.44323,Entire home/apt,95,3,0,,,4,352,0,
40005427,KUCCA Boutique Townhouse -Adults Only,4889548,Alexia,,Zebbug (Malta),35.87204,14.44444,Entire home/apt,89,3,25,2021-09-25,1.02,1,291,11,
53856657,"Central area, 2-bedroom with AC & BBQ grill",436253842,Marthese,,Zebbug (Malta),35.8699,14.44611,Entire home/apt,36,5,0,,,1,242,0,
45679897,Andreea’s Cosy Jacuzzy Town House,278571682,Andreea,,Zebbug (Malta),35.87114,14.44197,Entire home/apt,307,3,9,2021-11-13,0.73,1,168,8,
52561748,Refreshing bungalow in Zebbug,62551543,Ian,,Zebbug (Malta),35.87407,14.43196,Entire home/apt,221,3,0,,,1,341,0,
24114840,Haz-Zebbug a cute little house bang in the centre.,151792440,Alfred,,Zebbug (Malta),35.87141,14.44295,Entire home/apt,35,3,81,2021-12-27,1.80,3,170,4,
53028822,Bed sit 3 Oleander,177768707,Joseph,,Zebbug (Malta),35.87697,14.4427,Shared room,9,1,0,,,32,365,0,
52249447,Bedsit 1 in a dormitory of 6,177768707,Joseph,,Zebbug (Malta),35.87734,14.44453,Shared room,8,1,2,2021-12-01,0.80,32,358,2,
52357117,Bedsit 2 in a dormitory of 6,177768707,Joseph,,Zebbug (Malta),35.87584,14.44293,Shared room,8,1,1,2021-12-13,1,32,365,1,
17220089,Suantrai - Cosy House of Character,115887124,Justin,,Zebbug (Malta),35.86669,14.44069,Entire home/apt,38,2,114,2021-11-13,1.97,1,151,8,
14292283,Townhouse of Dreams,87257309,Mario,,Zebbug (Malta),35.87182,14.44301,Private room,16,1,95,2021-11-09,1.47,2,356,7,
27450632,Haz-Zebbug Townhouse,87257309,Mario,,Zebbug (Malta),35.87597,14.43881,Private room,15,1,42,2021-11-02,1.03,2,361,11,
15939095,Fully equipped three bedroom apartment.,103452722,Cynthia,,Zebbug (Malta),35.86293,14.43973,Entire home/apt,27,365,0,,,1,364,0,
40215142,Experience the true Malta in a 500 years old house,276728446,Roderick,,Zebbug (Malta),35.87161,14.4455,Entire home/apt,149,3,2,2021-11-06,0.08,4,365,1,
52765626,Charming Maltese House - Romantic Netflix Home,51631468,Connor,,Zebbug (Malta),35.86866,14.44163,Entire home/apt,78,2,2,2021-11-12,0.98,10,351,2,
46484972,Lulu Boutique Hotel - Suite 2,375134145,Liudmila,,Zebbug (Malta),35.86705,14.44167,Private room,193,1,0,,,9,282,0,
22119496,Stunning Family Home In Malta Sleeps 12 Persons,21565269,Tess,,Zebbug (Malta),35.86984,14.44289,Entire home/apt,425,2,15,2019-09-10,0.33,1,344,0,
29974150,Tal-Kapilluna Zebbug Guest House. Self catering,225345304,Philip,,Zebbug (Malta),35.8708,14.43914,Entire home/apt,75,1,5,2019-11-05,0.17,1,0,0,
52918132,500 year old character Penthouse in Haz-Zebbug,342430495,Saviour,,Zebbug (Malta),35.86964,14.44082,Entire home/apt,29,1,0,,,3,358,0,
46490947,Lulu Boutique Hotel - Suite 5,375134145,Liudmila,,Zebbug (Malta),35.86692,14.44327,Private room,151,1,0,,,9,290,0,
46490933,Lulu Boutique Hotel - Suite 6,375134145,Liudmila,,Zebbug (Malta),35.86856,14.44323,Private room,180,1,0,,,9,309,0,
46350010,"Lulu Boutique Hotel, made for passionate people;-)",375134145,Liudmila,,Zebbug (Malta),35.86851,14.44351,Private room,1180,1,0,,,9,345,0,
8386589,Double bedroom in a charming apartment,711377,Emma,,Zebbug (Malta),35.86607,14.44236,Private room,40,3,15,2019-08-12,0.23,1,178,0,
53620214,ZBG245- Private Modern House Of Character,118489013,Ed,,Zebbug (Malta),35.87281,14.44118,Entire home/apt,70,2,0,,,26,265,0,
52249373,Budget Single Bedroom 2,177768707,Joseph,,Zebbug (Malta),35.87709,14.44293,Private room,15,1,0,,,32,363,0,
40338239,Beautiful penthouse with sea view and Mdina view,305729530,Nad,,Zebbug (Malta),35.87833,14.44031,Private room,25,2,12,2021-09-02,0.70,2,0,6,
34429791,The Blue room,178996620,Angele,,Zebbug (Malta),35.87001,14.44274,Private room,30,2,0,,,1,363,0,
42006217,Luxury Penthouse in the Heart of Malta,1730826,Rita,,Zebbug (Malta),35.87467,14.44415,Entire home/apt,186,3,0,,,4,207,0,
52249088,Budget Single Bedroom 1,177768707,Joseph,,Zebbug (Malta),35.87665,14.44234,Private room,15,1,3,2021-12-23,2.73,32,365,3,
